,Source,Target,Type,weight,book
0,Addam_Marbrand,Jaime_Lannister,Undirected,3,1
1,Addam_Marbrand,Tywin_Lannister,Undirected,6,1
2,Aegon_I_Targaryen,Daenerys_Targaryen,Undirected,5,1
3,Aegon_I_Targaryen,Eddard_Stark,Undirected,4,1
4,Aemon_Targaryen__Maester_Aemon_,Alliser_Thorne,Undirected,4,1
5,Aemon_Targaryen__Maester_Aemon_,Bowen_Marsh,Undirected,4,1
6,Aemon_Targaryen__Maester_Aemon_,Chett,Undirected,9,1
7,Aemon_Targaryen__Maester_Aemon_,Clydas,Undirected,5,1
8,Aemon_Targaryen__Maester_Aemon_,Jeor_Mormont,Undirected,13,1
9,Aemon_Targaryen__Maester_Aemon_,Jon_Snow,Undirected,34,1
10,Aemon_Targaryen__Maester_Aemon_,Samwell_Tarly,Undirected,5,1
11,Aerys_II_Targaryen,Brandon_Stark,Undirected,4,1
12,Aerys_II_Targaryen,Eddard_Stark,Undirected,10,1
13,Aerys_II_Targaryen,Gerold_Hightower,Undirected,3,1
14,Aerys_II_Targaryen,Jaime_Lannister,Undirected,5,1
15,Aerys_II_Targaryen,Jon_Arryn,Undirected,3,1
16,Aerys_II_Targaryen,Robert_Baratheon,Undirected,12,1
17,Aggo,Daenerys_Targaryen,Undirected,11,1
18,Aggo,Drogo,Undirected,6,1
19,Aggo,Jhogo,Undirected,4,1
20,Aggo,Jorah_Mormont,Undirected,5,1
21,Aggo,Quaro,Undirected,3,1
22,Aggo,Rakharo,Undirected,7,1
23,Albett,Halder,Undirected,3,1
24,Albett,Jon_Snow,Undirected,5,1
25,Albett,Rast,Undirected,3,1
26,Alliser_Thorne,Bowen_Marsh,Undirected,3,1
27,Alliser_Thorne,Grenn,Undirected,3,1
28,Alliser_Thorne,Halder,Undirected,4,1
29,Alliser_Thorne,Jeor_Mormont,Undirected,10,1
30,Alliser_Thorne,Jon_Snow,Undirected,32,1
31,Alliser_Thorne,Pypar,Undirected,4,1
32,Alliser_Thorne,Rast,Undirected,5,1
33,Alliser_Thorne,Samwell_Tarly,Undirected,8,1
34,Alliser_Thorne,Tyrion_Lannister,Undirected,7,1
35,Alyn,Eddard_Stark,Undirected,11,1
36,Alyn,Harwin,Undirected,6,1
37,Alyn,Jory_Cassel,Undirected,8,1
38,Alyn,Robert_Baratheon,Undirected,4,1
39,Alyn,Tomard,Undirected,3,1
40,Arthur_Dayne,Gerold_Hightower,Undirected,4,1
41,Arya_Stark,Benjen_Stark,Undirected,3,1
42,Arya_Stark,Bran_Stark,Undirected,14,1
43,Arya_Stark,Catelyn_Stark,Undirected,5,1
44,Arya_Stark,Cersei_Lannister,Undirected,12,1
45,Arya_Stark,Desmond,Undirected,3,1
46,Arya_Stark,Eddard_Stark,Undirected,30,1
47,Arya_Stark,Ilyn_Payne,Undirected,5,1
48,Arya_Stark,Jeyne_Poole,Undirected,10,1
49,Arya_Stark,Joffrey_Baratheon,Undirected,39,1
50,Arya_Stark,Jon_Snow,Undirected,37,1
51,Arya_Stark,Jory_Cassel,Undirected,12,1
52,Arya_Stark,Meryn_Trant,Undirected,4,1
53,Arya_Stark,Mordane,Undirected,39,1
54,Arya_Stark,Mycah,Undirected,18,1
55,Arya_Stark,Myrcella_Baratheon,Undirected,13,1
56,Arya_Stark,Petyr_Baelish,Undirected,3,1
57,Arya_Stark,Rickon_Stark,Undirected,7,1
58,Arya_Stark,Robb_Stark,Undirected,15,1
59,Arya_Stark,Robert_Baratheon,Undirected,8,1
60,Arya_Stark,Rodrik_Cassel,Undirected,3,1
61,Arya_Stark,Sandor_Clegane,Undirected,7,1
62,Arya_Stark,Sansa_Stark,Undirected,104,1
63,Arya_Stark,Syrio_Forel,Undirected,20,1
64,Arya_Stark,Tomard,Undirected,6,1
65,Arya_Stark,Tommen_Baratheon,Undirected,5,1
66,Arya_Stark,Vayon_Poole,Undirected,4,1
67,Arya_Stark,Yoren,Undirected,4,1
68,Arys_Oakheart,Cersei_Lannister,Undirected,3,1
69,Balon_Greyjoy,Eddard_Stark,Undirected,3,1
70,Balon_Greyjoy,Robert_Baratheon,Undirected,4,1
71,Balon_Swann,Renly_Baratheon,Undirected,3,1
72,Balon_Swann,Sandor_Clegane,Undirected,3,1
73,Barristan_Selmy,Boros_Blount,Undirected,3,1
74,Barristan_Selmy,Cersei_Lannister,Undirected,12,1
75,Barristan_Selmy,Eddard_Stark,Undirected,28,1
76,Barristan_Selmy,Jaime_Lannister,Undirected,4,1
77,Barristan_Selmy,Joffrey_Baratheon,Undirected,6,1
78,Barristan_Selmy,Jon_Arryn,Undirected,4,1
79,Barristan_Selmy,Meryn_Trant,Undirected,3,1
80,Barristan_Selmy,Petyr_Baelish,Undirected,7,1
81,Barristan_Selmy,Pycelle,Undirected,8,1
82,Barristan_Selmy,Renly_Baratheon,Undirected,13,1
83,Barristan_Selmy,Robert_Baratheon,Undirected,40,1
84,Barristan_Selmy,Sandor_Clegane,Undirected,3,1
85,Barristan_Selmy,Sansa_Stark,Undirected,3,1
86,Barristan_Selmy,Varys,Undirected,9,1
87,Benjen_Stark,Bran_Stark,Undirected,6,1
88,Benjen_Stark,Cersei_Lannister,Undirected,3,1
89,Benjen_Stark,Jaremy_Rykker,Undirected,3,1
90,Benjen_Stark,Jeor_Mormont,Undirected,9,1
91,Benjen_Stark,Jon_Snow,Undirected,41,1
92,Benjen_Stark,Luwin,Undirected,7,1
93,Benjen_Stark,Mance_Rayder,Undirected,3,1
94,Benjen_Stark,Robb_Stark,Undirected,7,1
95,Benjen_Stark,Robert_Baratheon,Undirected,3,1
96,Benjen_Stark,Theon_Greyjoy,Undirected,4,1
97,Benjen_Stark,Tyrion_Lannister,Undirected,8,1
98,Benjen_Stark,Waymar_Royce,Undirected,3,1
99,Benjen_Stark,Yoren,Undirected,4,1
100,Beric_Dondarrion,Eddard_Stark,Undirected,3,1
101,Beric_Dondarrion,Gregor_Clegane,Undirected,6,1
102,Beric_Dondarrion,Loras_Tyrell,Undirected,5,1
